OBJECTID,GEOID,NAME,NAMELSAD
1,0809555,Brush,Brush city
2,0836610,Hillrose,Hillrose town
3,0845695,Log Lane Village,Log Lane Village town
4,0884770,Wiggins,Wiggins town
5,0833310,Grover,Grover town
6,0848500,Manzanola,Manzanola town
7,0843660,Las Animas,Las Animas city
8,0853120,Naturita,Naturita town
9,0854935,Nucla,Nucla town
10,0855540,Olathe,Olathe town
11,0828305,Fraser,Fraser town
12,0831715,Grand Lake,Grand Lake town
13,0837600,Hot Sulphur Springs,Hot Sulphur Springs town
14,0841560,Kremmling,Kremmling town
15,0885705,Winter Park,Winter Park town
16,0886310,Wray,Wray city
17,0873825,Steamboat Springs,Steamboat Springs city
18,0815330,Coal Creek,Coal Creek town
19,0881030,Vilas,Vilas town
20,0842330,Lake City,Lake City town
21,0810105,Buena Vista,Buena Vista town
22,0860600,Poncha Springs,Poncha Springs town
23,0825115,Estes Park,Estes Park town
24,0883230,Wellington,Wellington town
25,0830780,Glenwood Springs,Glenwood Springs city
26,0870195,Silt,Silt town
27,0886475,Yampa,Yampa town
28,0804110,Avon,Avon town
29,0857245,Paoli,Paoli town
30,0813460,Cheraw,Cheraw town
31,0808345,Branson,Branson town
32,0878610,Trinidad,Trinidad city
33,0840570,Kim,Kim town
34,0826875,Fleming,Fleming town
35,0858235,Peetz,Peetz town
36,0828690,Frisco,Frisco town
37,0817375,Cortez,Cortez city
38,0866895,Rye,Rye town
39,0818310,Crested Butte,Crested Butte town
40,0823740,Elizabeth,Elizabeth town
41,0840790,Kiowa,Kiowa town
42,0827425,Fort Collins,Fort Collins city
43,0849875,Meeker,Meeker town
44,0800925,Akron,Akron town
45,0862880,Rangely,Rangely town
46,0817760,Craig,Craig city
47,0820495,Dinosaur,Dinosaur town
48,0868655,Sawpit,Sawpit town
49,0819080,Dacono,Dacono city
50,0885485,Windsor,Windsor town
51,0839855,Johnstown,Johnstown town
52,0845530,Lochbuie,Lochbuie town
53,0863045,Raymer (New Raymer),Raymer (New Raymer) town
54,0837820,Hudson,Hudson town
55,0845970,Longmont,Longmont city
56,0822860,Eaton,Eaton town
57,0840515,Kersey,Kersey town
58,0882350,Walsenburg,Walsenburg city
59,0819355,De Beque,De Beque town
60,0834520,Hartman,Hartman town
61,0809115,Brookside,Brookside town
62,0811810,Cañon City,Cañon City city
63,0808400,Breckenridge,Breckenridge town
64,0851690,Montezuma,Montezuma town
65,0882130,Walden,Walden town
66,0811645,Campo,Campo town
67,0806530,Bethune,Bethune town
68,0810600,Burlington,Burlington city
69,0857630,Parker,Parker town
70,0856420,Ouray,Ouray city
71,0803620,Aspen,Aspen city
72,0871755,Snowmass Village,Snowmass Village town
73,0814175,Cheyenne Wells,Cheyenne Wells town
74,0811260,Calhan,Calhan town
75,0816000,Colorado Springs,Colorado Springs city
76,0827975,Fowler,Fowler town
77,0826765,Flagler,Flagler town
78,0874485,Stratton,Stratton town
79,0827810,Fort Morgan,Fort Morgan city
80,0819850,Delta,Delta city
81,0865190,Rocky Ford,Rocky Ford city
82,0875970,Swink,Swink town
83,0838590,Iliff,Iliff town
84,0873935,Sterling,Sterling city
85,0827865,Fountain,Fountain city
86,0851800,Monument,Monument town
87,0886090,Woodland Park,Woodland Park city
88,0881690,Vona,Vona town
89,0874815,Sugar City,Sugar City town
90,0818750,Crowley,Crowley town
91,0855705,Olney Springs,Olney Springs town
92,0856145,Ordway,Ordway town
93,0851745,Montrose,Montrose city
94,0870635,Simla,Simla town
95,0823025,Eckley,Eckley town
96,0848445,Manitou Springs,Manitou Springs city
97,0857025,Palmer Lake,Palmer Lake town
98,0862660,Ramah,Ramah town
99,0872395,South Fork,South Fork town
100,0867280,Salida,Salida city
101,0832650,Green Mountain Falls,Green Mountain Falls town
102,0818530,Cripple Creek,Cripple Creek city
103,0880865,Victor,Victor city
104,0873330,Springfield,Springfield town
105,0879270,Two Buttes,Two Buttes town
106,0827040,Florence,Florence city
107,0864970,Rockvale,Rockvale town
108,0885155,Williamsburg,Williamsburg town
109,0844320,Leadville,Leadville city
110,0857400,Parachute,Parachute town
111,0842110,La Junta,La Junta city
112,0848115,Mancos,Mancos town
113,0845955,Lone Tree,Lone Tree city
114,0812415,Castle Rock,Castle Rock town
115,0818640,Crook,Crook town
116,0855980,Orchard City,Orchard City town
117,0850040,Merino,Merino town
118,0807571,Bonanza,Bonanza town
119,0818420,Crestone,Crestone town
120,0851250,Moffat,Moffat town
121,0867005,Saguache,Saguache town
122,0824620,Empire,Empire town
123,0829735,Georgetown,Georgetown town
124,0870360,Silver Plume,Silver Plume town
125,0812635,Cedaredge,Cedaredge town
126,0817925,Crawford,Crawford town
127,0857300,Paonia,Paonia town
128,0815605,Collbran,Collbran town
129,0828745,Fruita,Fruita city
130,0864200,Ridgway,Ridgway town
131,0861315,Pritchett,Pritchett town
132,0882460,Walsh,Walsh town
133,0856970,Palisade,Palisade town
134,0852075,Morrison,Morrison town
135,0805265,Bayfield,Bayfield town
136,0838535,Ignacio,Ignacio town
137,0870580,Silverton,Silverton town
138,0846355,Louisville,Louisville city
139,0831605,Granby,Granby town
140,0868105,San Luis,San Luis town
141,0839965,Julesburg,Julesburg town
142,0856475,Ovid,Ovid town
143,0868930,Sedgwick,Sedgwick town
144,0823135,Edgewater,Edgewater city
145,0852350,Mountain View,Mountain View town
146,0840185,Keenesburg,Keenesburg town
147,0855045,Nunn,Nunn town
148,0856860,Pagosa Springs,Pagosa Springs town
149,0807850,Boulder,Boulder city
150,0839195,Jamestown,Jamestown town
151,0847070,Lyons,Lyons town
152,0853175,Nederland,Nederland town
153,0812900,Central,Central city
154,0838370,Idaho Springs,Idaho Springs city
155,0807795,Boone,Boone town
156,0801530,Alma,Alma town
157,0825610,Fairplay,Fairplay town
158,0806255,Berthoud,Berthoud town
159,0803950,Ault,Ault town
160,0808675,Brighton,Brighton city
161,0824950,Erie,Erie town
162,0827700,Fort Lupton,Fort Lupton city
163,0829185,Garden City,Garden City town
164,0829955,Gilcrest,Gilcrest town
165,0832155,Greeley,Greeley city
166,0809280,Broomfield,Broomfield city
167,0843605,La Salle,La Salle town
168,0849600,Mead,Mead town
169,0854330,Northglenn,Northglenn city
170,0807410,Blue River,Blue River town
171,0820440,Dillon,Dillon town
172,0870525,Silverthorne,Silverthorne town
173,0820770,Dolores,Dolores town
174,0859005,Pierce,Pierce town
175,0869150,Severance,Severance town
176,0877290,Thornton,Thornton city
177,0834740,Haswell,Haswell town
178,0806090,Bennett,Bennett town
179,0803455,Arvada,Arvada city
180,0821265,Dove Creek,Dove Creek town
181,0855870,Ophir,Ophir town
182,0837545,Hotchkiss,Hotchkiss town
183,0812045,Carbondale,Carbondale town
184,0853395,New Castle,New Castle town
185,0864255,Rifle,Rifle city
186,0886750,Yuma,Yuma city
187,0831660,Grand Junction,Grand Junction city
188,0835070,Hayden,Hayden town
189,0855155,Oak Creek,Oak Creek town
190,0876795,Telluride,Telluride town
191,0852550,Mountain Village,Mountain Village town
192,0854880,Norwood,Norwood town
193,0850920,Minturn,Minturn town
194,0863265,Red Cliff,Red Cliff town
195,0804935,Basalt,Basalt town
196,0800760,Aguilar,Aguilar town
197,0873715,Starkville,Starkville town
198,0843550,Larkspur,Larkspur town
199,0808070,Bow Mar,Bow Mar town
200,0813845,Cherry Hills Village,Cherry Hills Village city
201,0834960,Haxtun,Haxtun town
202,0869645,Sheridan,Sheridan city
203,0816385,Columbine Valley,Columbine Valley town
204,0828105,Foxfield,Foxfield town
205,0830340,Glendale,Glendale city
206,0812815,Centennial,Centennial city
207,0837270,Holyoke,Holyoke city
208,0831550,Granada,Granada town
209,0837215,Holly,Holly town
210,0843110,Lamar,Lamar city
211,0885045,Wiley,Wiley town
212,0812387,Castle Pines,Castle Pines city
213,0870250,Silver Cliff,Silver Cliff town
214,0883450,Westcliffe,Westcliffe town
215,0880040,Vail,Vail town
216,0862000,Pueblo,Pueblo city
217,0801090,Alamosa,Alamosa city
218,0822035,Durango,Durango city
219,0822200,Eagle,Eagle town
220,0833695,Gypsum,Gypsum town
221,0856365,Otis,Otis town
222,0837380,Hooper,Hooper town
223,0842055,La Jara,La Jara town
224,0865740,Romeo,Romeo town
225,0802355,Antonito,Antonito town
226,0848060,Manassa,Manassa town
227,0846465,Loveland,Loveland city
228,0877510,Timnath,Timnath town
229,0812030,Carbonate,Carbonate town
230,0833640,Gunnison,Gunnison city
231,0848555,Marble,Marble town
232,0852570,Mount Crested Butte,Mount Crested Butte town
233,0812855,Center,Center town
234,0869040,Seibert,Seibert town
235,0829680,Genoa,Genoa town
236,0837875,Hugo,Hugo town
237,0804000,Aurora,Aurora city
238,0816495,Commerce City,Commerce City city
239,0826270,Federal Heights,Federal Heights city
240,0883835,Westminster,Westminster city
241,0844980,Limon,Limon town
242,0814765,City of Creede,City of Creede town
243,0844100,La Veta,La Veta town
244,0820000,Denver,Denver city
245,0819795,Del Norte,Del Norte town
246,0851635,Monte Vista,Monte Vista city
247,0825280,Evans,Evans city
248,0850480,Milliken,Milliken town
249,0860160,Platteville,Platteville town
250,0826600,Firestone,Firestone town
251,0828360,Frederick,Frederick town
252,0841010,Kit Carson,Kit Carson town
253,0803235,Arriba,Arriba town
254,0815550,Cokedale,Cokedale town
255,0807190,Blanca,Blanca town
256,0824785,Englewood,Englewood city
