OBJECTID,GEOID,NAME,NAMELSAD
55,0845970,Longmont,Longmont city
69,0857630,Parker,Parker town
113,0845955,Lone Tree,Lone Tree city
114,0812415,Castle Rock,Castle Rock town
138,0846355,Louisville,Louisville city
149,0807850,Boulder,Boulder city
160,0808675,Brighton,Brighton city
166,0809280,Broomfield,Broomfield city
169,0854330,Northglenn,Northglenn city
176,0877290,Thornton,Thornton city
179,0803455,Arvada,Arvada city
200,0813845,Cherry Hills Village,Cherry Hills Village city
204,0828105,Foxfield,Foxfield town
206,0812815,Centennial,Centennial city
212,0812387,Castle Pines,Castle Pines city
237,0804000,Aurora,Aurora city
238,0816495,Commerce City,Commerce City city
240,0883835,Westminster,Westminster city
244,0820000,Denver North East,Denver city North East
245,0820000,Denver North,Denver city North
246,0820000,Denver South,Denver city South
256,0824785,Englewood,Englewood city
257,0833035,Greenwood Village,Greenwood Village city
259,0843000,Lakewood,Lakewood city
260,0830835,Golden,Golden city
261,0884440,Wheat Ridge,Wheat Ridge city
262,0845255,Littleton,Littleton city
265,0841835,Lafayette,Lafayette city
334,0813590,Cherry Creek,Cherry Creek CDP
372,0836410,Highlands Ranch,Highlands Ranch CDP
